Date,Adj Close
2010-07-01,6.78858
2010-08-01,7.089257
2010-09-01,6.920968
2010-10-01,7.053355
2010-11-01,6.920968
2010-12-01,7.319972
2011-01-01,7.081721
2011-02-01,7.043862
2011-03-01,7.592283
2011-04-01,7.374802
2011-05-01,8.148767
2011-06-01,8.063032
2011-07-01,8.316053
2011-08-01,8.200244
2011-09-01,8.148767
2011-10-01,7.743523
2011-11-01,8.27743
2011-12-01,8.899355
2012-01-01,8.727757
2012-02-01,9.006555
2012-03-01,8.980847
2012-04-01,8.575538
2012-05-01,8.606475
2012-06-01,8.599776
2012-07-01,9.040137
2012-08-01,8.579816
2012-09-01,8.586447
2012-10-01,8.473042
2012-11-01,8.086071
2012-12-01,8.332976
2013-01-01,8.132828
2013-02-01,8.012722
2013-03-01,8.506398
2013-04-01,8.199544
2013-05-01,8.677922
2013-06-01,7.821893
2013-07-01,8.153283
2013-08-01,7.421465
2013-09-01,8.325876
2013-10-01,8.746959
2013-11-01,8.249907
2013-12-01,7.835687
2014-01-01,6.699947
2014-02-01,6.200056
2014-03-01,7.151232
2014-04-01,6.651347
2014-05-01,7.04614
2014-06-01,8.141699
2014-07-01,7.954102
2014-08-01,8.494367
2014-09-01,7.503879
2014-10-01,7.25625
2014-11-01,7.563909
2014-12-01,6.730978
2015-01-01,6.634723
2015-02-01,6.96762
2015-03-01,7.989514
2015-04-01,8.86435
2015-05-01,8.230588
2015-06-01,9.022326
2015-07-01,10.374691
2015-08-01,10.326993
2015-09-01,8.800601
2015-10-01,8.96755
2015-11-01,9.304469
2015-12-01,9.43779
2016-01-01,9.525052
2016-02-01,10.004482
2016-03-01,9.918002
2016-04-01,10.059478
2016-05-01,10.228312
2016-06-01,11.409469
2016-07-01,12.046119
2016-08-01,11.979104
2016-09-01,12.046119
2016-10-01,12.858689
2016-11-01,11.878579
2016-12-01,11.225174
2017-01-01,12.25094
2017-02-01,11.971914
2017-03-01,12.163745
2017-04-01,11.70161
2017-05-01,11.631853
2017-06-01,12.373013
2017-07-01,12.529965
2017-08-01,13.288564
2017-09-01,13.201369
2017-10-01,12.556125
2017-11-01,12.032953
2017-12-01,12.207343
2018-01-01,12.49298
2018-02-01,11.701174
2018-03-01,11.709971
2018-04-01,12.220247
2018-05-01,12.525683
2018-06-01,13.141544
2018-07-01,12.933099
2018-08-01,12.705704
2018-09-01,12.118266
2018-10-01,13.264717
2018-11-01,12.970998
2018-12-01,13.975327
2019-01-01,15.908187
2019-02-01,17.237652
2019-03-01,16.918806
2019-04-01,17.446896
2019-05-01,19.84
2019-06-01,18.9
2019-07-01,19.290001
