Date,Adj Close
2010-07-01,8.149193
2010-08-01,9.075227
2010-09-01,10.054174
2010-10-01,10.63096
2010-11-01,10.742105
2010-12-01,11.006664
2011-01-01,9.741951
2011-02-01,10.08063
2011-03-01,10.398101
2011-04-01,10.689194
2011-05-01,11.425683
2011-06-01,11.225482
2011-07-01,10.102918
2011-08-01,10.291918
2011-09-01,9.191531
2011-10-01,8.306874
2011-11-01,7.583015
2011-12-01,8.706236
2012-01-01,10.147709
2012-02-01,10.897267
2012-03-01,9.859446
2012-04-01,8.994578
2012-05-01,8.089373
2012-06-01,9.02326
2012-07-01,7.230167
2012-08-01,8.450323
2012-09-01,8.711657
2012-10-01,9.292462
2012-11-01,9.030875
2012-12-01,10.312644
2013-01-01,10.93575
2013-02-01,11.082564
2013-03-01,11.564182
2013-04-01,10.384163
2013-05-01,9.821731
2013-06-01,9.506802
2013-07-01,9.749453
2013-08-01,9.916046
2013-09-01,11.433901
2013-10-01,11.734623
2013-11-01,11.41193
2013-12-01,10.615301
2014-01-01,9.667647
2014-02-01,10.881495
2014-03-01,10.946999
2014-04-01,11.957362
2014-05-01,12.639601
2014-06-01,11.474858
2014-07-01,9.979116
2014-08-01,11.36485
2014-09-01,11.193847
2014-10-01,9.678793
2014-11-01,9.375587
2014-12-01,9.523124
2015-01-01,8.551721
2015-02-01,9.755124
2015-03-01,10.58245
2015-04-01,10.702779
2015-05-01,10.042715
2015-06-01,11.758974
2015-07-01,13.275412
2015-08-01,14.658401
2015-09-01,15.440185
2015-10-01,16.817186
2015-11-01,19.18354
2015-12-01,14.321158
2016-01-01,14.074858
2016-02-01,12.501493
2016-03-01,13.023367
2016-04-01,13.267437
2016-05-01,11.865458
2016-06-01,12.388279
2016-07-01,13.655566
2016-08-01,12.934741
2016-09-01,12.855575
2016-10-01,15.263521
2016-11-01,14.867511
2016-12-01,16.062136
2017-01-01,15.01075
2017-02-01,15.680935
2017-03-01,15.589396
2017-04-01,15.875229
2017-05-01,16.87748
2017-06-01,16.735651
2017-07-01,16.593821
2017-08-01,17.000393
2017-09-01,16.915297
2017-10-01,16.953119
2017-11-01,16.915297
2017-12-01,17.643347
2018-01-01,17.501518
2018-02-01,20.585903
2018-03-01,21.164433
2018-04-01,21.000429
2018-05-01,19.16214
2018-06-01,17.889883
2018-07-01,21.598999
2018-08-01,22.479792
2018-09-01,25.445127
2018-10-01,24.270737
2018-11-01,26.325922
2018-12-01,27.989641
2019-01-01,31.414946
2019-02-01,30.187695
2019-03-01,29.591885
2019-04-01,31.200001
2019-05-01,34.91
2019-06-01,37.52
2019-07-01,42.02
